Date,Open,High,Low,Close,Adj Close,Volume
2007/1/11,,,,,1483,
2007/4/11,,,,,1495,
2007/5/11,,,,,1510,
2007/6/11,,,,,1527.3,
2007/7/11,,,,,1527.5,
2007/8/11,,,,,1541.5,
2007/11/11,,,,,1555.5,
2007/12/11,,,,,1550.5,
7/13/11,,,,,1579,
7/14/11,,,,,1590.5,
7/15/11,,,,,1587,
7/18/11,,,,,1599,
7/19/11,,,,,1601,
7/20/11,,,,,1586,
7/21/11,,,,,1601,
7/22/11,,,,,1602,
7/25/11,,,,,1613.5,
7/26/11,,,,,1612.8,
7/27/11,,,,,1625,
7/28/11,,,,,1613.5,
7/29/11,,,,,1628.5,
2008/1/11,,,,,1623,
2008/2/11,,,,,1637.8,
2008/3/11,,,,,1669.3,
2008/4/11,,,,,1679.5,
2008/5/11,,,,,1658.8,
2008/8/11,,,,,1693,
2008/9/11,,,,,1736,
2008/10/11,,,,,1772,
2008/11/11,,,,,1760,
2008/12/11,,,,,1736,
8/15/11,,,,,1739,
8/16/11,,,,,1782.5,
8/17/11,,,,,1790,
8/18/11,,,,,1824,
8/19/11,,,,,1848,
8/22/11,,,,,1877.5,
8/23/11,,,,,1876,
8/24/11,,,,,1770,
8/25/11,,,,,1729,
8/26/11,,,,,1788,
8/29/11,,,,,1788,
8/30/11,,,,,1825,
8/31/11,,,,,1813.5,
2009/1/11,,,,,1821,
2009/2/11,,,,,1875.3,
2009/5/11,,,,,1895,
2009/6/11,,,,,1895,
2009/7/11,,,,,1810,
2009/8/11,,,,,1855,
2009/9/11,,,,,1851,
2009/12/11,,,,,1834,
9/13/11,,,,,1820,
9/14/11,,,,,1818.5,
9/15/11,,,,,1782,
9/16/11,,,,,1794,
9/19/11,,,,,1794,
9/20/11,,,,,1799,
9/21/11,,,,,1793,
9/22/11,,,,,1722,
9/23/11,,,,,1689,
9/26/11,,,,,1598,
9/27/11,,,,,1659,
9/28/11,,,,,1643,
9/29/11,,,,,1613,
9/30/11,,,,,1620,
2010/3/11,,,,,1655.5,
2010/4/11,,,,,1638,
2010/5/11,,,,,1617,
2010/6/11,,,,,1635,
2010/7/11,,,,,1652,
2010/10/11,,,,,1661,
2010/11/11,,,,,1663,
2010/12/11,,,,,1682,
10/13/11,,,,,1656,
10/14/11,,,,,1678,
10/17/11,,,,,1682,
10/18/11,,,,,1631,
10/19/11,,,,,1652.5,
10/20/11,,,,,1620,
10/21/11,,,,,1642.5,
10/24/11,,,,,1652,
10/25/11,,,,,1656,
10/26/11,,,,,1715,
10/27/11,,,,,1718,
10/28/11,,,,,1741,
10/31/11,,,,,1722,
2011/1/11,,,,,1699,
2011/2/11,,,,,1743,
2011/3/11,,,,,1758,
2011/4/11,,,,,1749,
2011/7/11,,,,,1782,
2011/8/11,,,,,1795,
2011/9/11,,,,,1784,
2011/10/11,,,,,1756,
2011/11/11,,,,,1773,
11/14/11,,,,,1776,
11/15/11,,,,,1785,
11/16/11,,,,,1756,
11/17/11,,,,,1742.5,
11/18/11,,,,,1719,
11/21/11,,,,,1702,
11/22/11,,,,,1699,
11/23/11,,,,,1681,
11/24/11,,,,,1692.5,
11/25/11,,,,,1688.5,
11/28/11,,,,,1714,
11/29/11,,,,,1717,
11/30/11,,,,,1746,
2012/1/11,,,,,1752,
2012/2/11,,,,,1747,
2012/5/11,,,,,1744,
2012/6/11,,,,,1708,
2012/7/11,,,,,1735.5,
2012/8/11,,,,,1715,
2012/9/11,,,,,1709,
2012/12/11,,,,,1659.5,
12/13/11,,,,,1672.5,
12/14/11,,,,,1603,
12/15/11,,,,,1574,
12/16/11,,,,,1594,
12/19/11,,,,,1598,
12/20/11,,,,,1613.5,
12/21/11,,,,,1608,
12/22/11,,,,,1606.5,
12/23/11,,,,,1606.5,
12/26/11,,,,,1606.5,
12/27/11,,,,,1606.5,
12/28/11,,,,,1571,
12/29/11,,,,,1531,
12/30/11,,,,,1531,
2001/2/12,,,,,1531,
2001/3/12,,,,,1598,
2001/4/12,,,,,1613,
2001/5/12,,,,,1599,
2001/6/12,,,,,1616.5,
2001/9/12,,,,,1615,
2001/10/12,,,,,1637,
2001/11/12,,,,,1634.5,
2001/12/12,,,,,1661,
1/13/12,,,,,1635.5,
1/16/12,,,,,1641,
1/17/12,,,,,1656,
1/18/12,,,,,1647,
1/19/12,,,,,1655,
1/20/12,,,,,1653,
1/23/12,,,,,1675.5,
1/24/12,,,,,1665.5,
1/25/12,,,,,1650,
1/26/12,,,,,1727,
1/27/12,,,,,1726,
1/30/12,,,,,1729,
1/31/12,,,,,1744,
2002/1/12,,,,,1740,
2002/2/12,,,,,1751,
2002/3/12,,,,,1734,
2002/6/12,,,,,1719,
2002/7/12,,,,,1724,
2002/8/12,,,,,1746,
2002/9/12,,,,,1748,
2002/10/12,,,,,1711.5,
2/13/12,,,,,1720,
2/14/12,,,,,1722,
2/15/12,,,,,1733,
2/16/12,,,,,1713,
2/17/12,,,,,1723,
2/20/12,,,,,1733,
2/21/12,,,,,1748,
2/22/12,,,,,1752,
2/23/12,,,,,1777,
2/24/12,,,,,1777.5,
2/27/12,,,,,1772,
2/28/12,,,,,1781,
2/29/12,,,,,1770,
2003/1/12,,,,,1714,
2003/2/12,,,,,1707,
2003/5/12,,,,,1705,
2003/6/12,,,,,1669,
2003/7/12,,,,,1677.5,
2003/8/12,,,,,1690,
2003/9/12,,,,,1687.5,
2003/12/12,,,,,1697.5,
3/13/12,,,,,1690,
3/14/12,,,,,1644.3,
3/15/12,,,,,1648,
3/16/12,,,,,1658,
3/19/12,,,,,1661.5,
3/20/12,,,,,1656.8,
3/21/12,,,,,1649.3,
3/22/12,,,,,1635.5,
3/23/12,,,,,1664,
3/26/12,,,,,1680.3,
3/27/12,,,,,1692,
3/28/12,,,,,1676,
3/29/12,,,,,1657.5,
3/30/12,,,,,1662.5,
2004/2/12,,,,,1677.5,
2004/3/12,,,,,1676.3,
2004/4/12,,,,,1621,
2004/5/12,,,,,1631,
2004/6/12,,,,,1631,
2004/9/12,,,,,1631,
2004/10/12,,,,,1644,
2004/11/12,,,,,1658,
2004/12/12,,,,,1668.5,
4/13/12,,,,,1666.5,
4/16/12,,,,,1653,
4/17/12,,,,,1635.5,
4/18/12,,,,,1644,
4/19/12,,,,,1650,
4/20/12,,,,,1641.5,
4/23/12,,,,,1629,
4/24/12,,,,,1649.5,
4/25/12,,,,,1637.8,
4/26/12,,,,,1653.5,
4/27/12,,,,,1663.5,
4/30/12,,,,,1651.3,
2005/1/12,,,,,1664,
2005/2/12,,,,,1648,
2005/3/12,,,,,1637.8,
2005/4/12,,,,,1643.8,
2005/7/12,,,,,1643.8,
2005/8/12,,,,,1602.5,
2005/9/12,,,,,1582.5,
2005/10/12,,,,,1598.5,
2005/11/12,,,,,1583,
5/14/12,,,,,1558.5,
5/15/12,,,,,1556.5,
5/16/12,,,,,1548.5,
5/17/12,,,,,1554,
5/18/12,,,,,1589.5,
5/21/12,,,,,1592.5,
5/22/12,,,,,1582.5,
5/23/12,,,,,1549,
5/24/12,,,,,1568.5,
5/25/12,,,,,1569.5,
5/28/12,,,,,1574.6,
5/29/12,,,,,1579.5,
5/30/12,,,,,1540,
5/31/12,,,,,1558,
2006/1/12,,,,,1606,
2006/4/12,,,,,1606,
2006/5/12,,,,,1606,
2006/6/12,,,,,1635,
2006/7/12,,,,,1606,
